APOC1⁺ Macro,C1Q⁺ Macro,IL1B⁺ Macro,NFKBIA⁺ Mono,SPP1⁺ Mono,TREM2⁺ Macro,VCAN⁺ Mono
TMSB4X,C1QC,FMNL2,MALAT1,CXCL3,GPNMB,FCN1
TMSB10,C1QB,TNF,NEAT1,CXCL5,SPP1,VCAN
FTL,C1QA,SLCO2B1,NAMPT,SPP1,TREM2,THBS1
FTH1,TMEM176B,TREM2,PPP1R15A,CXCL8,APOE,S100A8
EEF1A1,APOE,GPNMB,NFKB1,CXCL1,CD9,FPR1
ACTB,PLD3,CD9,CD83,CLEC5A,APOC1,SIPA1L1
RPLP1,TMEM176A,ALCAM,TNFAIP3,CXCL2,ACP2,SAMSN1
RPL41,CTSD,NRP2,BTG1,AHNAK,TNS3,AREG
PFN1,HLA-DQA1,A2M,IER3,SDC2,VAT1,S100A12
RPL10,SLC40A1,FRMD4A,IL1B,TSC22D3,SLCO2B1,SLC2A3
RPL28,CTSC,MIR155HG,CD44,ANKRD28,DAB2,SLC11A1
TPT1,HLA-DPA1,MSR1,BCL2A1,INHBA,CD84,MCEMP1
GAPDH,HLA-DRB5,DAB2,NFKBIA,IER3,LHFPL2,MAP3K8
GPX1,APOC1,PLAU,LINC-PINT,ARID5B,GCHFR,CD55
RPL13,SELENOP,APOC1,SLC25A37,MMP9,NPL,PDE4B
RPL19,ACP5,SCARB2,TIMP1,IL7R,FMNL2,RILPL2
RPS19,MMP12,GPR137B,SERPINB9,RAB13,NR1H3,MCL1
PTMA,A2M,LHFPL2,EREG,IL1B,VEGFB,SLC25A37
S100A11,HLA-DPB1,PMAIP1,G0S2,SLC7A11,PLXND1,FGR
SERF2,HLA-DQB1,RGS1,DOCK4,MT2A,MITF,CD300E
