Endothelial cells,Epithelial cells,Immune - Lymphoid,Immune - Myeloid,Stromal / Fibroblasts
NR5A2,RHEX,PTPRC,TBXAS1,NR2F2-AS1
LDB2,UBE2D2,CD96,DOCK2,CDH11
EMCN,MECOM,ARHGAP15,ELMO1,NLGN1
EGFL7,AC024230.1,CD247,DOCK8,COL3A1
PTPRB,LINC01541,DOCK10,PLXDC2,ALDH1A2
FLI1,EYA2,IKZF1,DOCK4,ZEB1
A2M,PLCB1,PRKCH,DPYD,SLC24A3
DIPK2B,PATJ,CELF2,ZEB2,LSAMP
CALCRL,TMEM101,ANKRD44,LRMDA,TSHZ3
SMAD1,STX18,SKAP1,PTPRC,TWIST2
VWF,L3MBTL4,DOCK8,ARHGAP15,LDB2
ADGRL4,PLCB4,SAMD3,SLC8A1,DLC1
ZNF521,PPP1R9A,SLFN12L,APBB1IP,SDK1
SPTBN1,SORBS2,FYN,FYB1,PLPP1
IGFBP7,ASRGL1,STAT4,MARCH1,PDZRN3
ANO2,WWC1,DOCK2,MS4A6A,ATXN1
MEIS2,FGD4,CARD11,ABR,COL1A1
ARHGAP29,GRHL2,FYB1,SLC9A9,RUNX1T1
DOCK4,PCAT1,MBNL1,DOCK10,TPST1
ERG,CNTN5,LCP2,MEF2C,RORB
