Epithelial cells,Erythroid lineage,Immune - B cells / APCs,Immune - Lymphoid,Immune - Myeloid,Stromal / Fibroblasts
Krt8,Hbb-bs,Cd74,Vps37b,Tyrobp,Dcn
Krt18,Hba-a1,Ebf1,Ms4a4b,Fcer1g,Sparc
Cldn7,Hba-a2,Igkc,Fyb,Plek,Col1a2
Wfdc2,Hbb-bt,Cd79a,Ptprc,Basp1,Col3a1
Gsto1,Alas2,H2-Aa,Ifngr1,Tmsb4x,Igfbp7
Epcam,Snca,H2-Eb1,Gimap3,Cst3,Col1a1
Dstn,Ube2l6,H2-Ab1,Trbc2,Il1b,Cd63
Fxyd3,Bpgm,Mef2c,Emb,Ftl1,Zbtb20
Spint2,Fam46c,Ighm,Txk,Fth1,Cald1
Lcn2,Epb41,Cd37,Ptpn22,Ctss,S100a6
Cldn4,Cd24a,Rel,Gimap6,Lilr4b,Sparcl1
Phlda1,Slc25a37,Iglc2,Fxyd5,Atox1,Lgals1
Hbegf,Tfdp2,Ighd,Itk,Alox5ap,Vim
Fam213a,Gypa,Stap1,Ets1,Actb,Ctsl
Tcim,Gpx1,Hbb-bs,Cd3d,Efhd2,Fn1
Tmem176b,Rsad2,H2-DMb2,Trbc1,Psap,Igfbp4
Ier3,Ucp2,Cd83,AW112010,Csf2rb,Gsn
Cldn3,Ube2c,Ms4a1,Cd3g,Lyz2,Tcf4
Ltf,Car2,Cd79b,Gimap4,Plbd1,Ahnak
Krt19,Gda,H2-Ob,Hcst,Spi1,Gadd45g
