Epithelial cells,Erythroid lineage,Immune - B cells / APCs,Immune - Lymphoid,Immune - Myeloid,Stromal / Fibroblasts
Krt8,Hbb-bs,Igkc,Vps37b,Tyrobp,Dcn
Krt18,Hba-a2,Cd74,Ms4a4b,Fcer1g,Sparc
Cldn7,Hba-a1,Cd79a,Fyb,Plek,Col1a2
Wfdc2,Hbb-bt,Ebf1,Ptprc,Basp1,Col3a1
Gsto1,Alas2,H2-Aa,Ifngr1,Tmsb4x,Igfbp7
Epcam,Bpgm,H2-Eb1,Gimap3,Cst3,Col1a1
Dstn,Ube2l6,H2-Ab1,Trbc2,Il1b,Cd63
Fxyd3,Snca,Mef2c,Emb,Ftl1,Zbtb20
Spint2,Fam46c,Ighm,Txk,Fth1,Cald1
Lcn2,Epb41,Cd37,Ptpn22,Ctss,S100a6
Cldn4,Slc25a37,Iglc2,Gimap6,Lilr4b,Sparcl1
Phlda1,Cd24a,Rel,Fxyd5,Atox1,Lgals1
Hbegf,Rsad2,Hbb-bs,Itk,Alox5ap,Vim
Fam213a,Tfdp2,Ighd,Ets1,Actb,Ctsl
Tcim,Gpx1,Stap1,Cd3d,Efhd2,Fn1
Tmem176b,Gypa,Cd83,Trbc1,Psap,Igfbp4
Ier3,Gda,H2-DMb2,AW112010,Csf2rb,Gsn
Cldn3,Ube2c,Ms4a1,Cd3g,Lyz2,Tcf4
Ltf,Ucp2,Ly6d,Gimap4,Plbd1,Ahnak
Krt19,Fam213a,Cd79b,Hcst,Spi1,Gadd45g
